,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,c6,c6_gb,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_affinity,electrons,evaporation_heat,fusion_heat,gas_basicity,glawe_number,heat_of_formation,lattice_constant,mass_number,melting_point,mendeleev_number,metallic_radius,metallic_radius_c12,neutrons,pettifor_number,proton_affinity,protons,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,en_Allen,en_Allred_Rochow,en_Cottrell_Sutton,en_Ghosh,en_Gordy,en_Martynov_Batsanov,en_Mulliken,en_Nagle,en_Pauling,en_Sanderson,en_Tardini_Organov,hardness,nvalence,zeff,max_ionenergy,num_oxistates,BulkModulus,ElectronAffinity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,MiracleRadius,NUnfilled,NValence,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,SecondIonizationEnergy,ShearModulus,SpaceGroupNumber,n_ws^third,phi
As,33,115.0,231.0,13.1,74.921595,876.0,246.0,260.0,126.0,119.0,121.0,114.0,106.0,,5.75,30.0,0.804,33,32.4,,,90,302.5,4.13,75,1090.0,95,121.0,148.0,42,89,,33,0.328,,185.0,188.0,204.99999999999997,185.0,415.00000000000006,236.0,,,423.00000000000006,13.08,0.0004302984768799946,0.22818000723656606,0.2068208,0.05206611570247934,5.824846779100716,4.8945,0.5503212081491045,2.18,0.8253373013969036,3.15,4.4925,5,6.300000000000001,15028.906,3,22.0,78.0,9.7886,24.44,0.0,-4.650889115,3.539684396,4.459722881,0.0,22.175,115.0,3.0,15.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,18.5892,,166.0,1.44,4.8
Se,34,115.0,224.00000000000003,16.5,78.971,958.1,210.0,233.0,117.0,120.0,115.99999999999999,107.0,107.0,,4.809,28.9,2.02067,34,59.7,5.23,,95,227.2,4.36,80,490.0,101,117.0,140.0,46,93,,34,,0.52,190.0,182.0,190.0,190.0,403.0,229.0,,,420.5,14.34,0.000516498216409037,0.24477294193486396,0.2240328,0.05991379310344828,6.528391736612216,4.876196,0.5921310056235959,2.55,0.9659120763307081,3.37,3.865861,6,6.949999999999999,15968.083,3,8.3,195.0,9.75239,6.69,0.799,-3.47079191,3.728679007,4.697841169,0.0,25.92,118.0,2.0,16.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,21.19,3.7,14.0,,
Br,35,115.0,219.0,23.5,79.904,331.9,162.0,187.0,119.0,120.0,113.99999999999999,109.0,110.0,,3.1028,21.0,3.3635882000000006,35,29.56,10.57,531.2,100,111.85,6.67,79,265.9,108,,117.0,44,98,554.4,35,,0.005,185.0,186.0,190.0,183.0,395.0,222.00000000000003,,,418.9,15.88,0.0005847953216374271,0.25819888974716115,0.2412578,0.0666666666666667,7.209911927340028,5.906905,0.6933612743506347,2.96,1.0490256529924444,3.45,4.2251109,7,7.600000000000001,16937.126,5,1.9,324.6,11.8138,5.285,1.457,-1.5830253375,3.892116444,4.903759436,0.0,29.48,,1.0,17.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,21.591,,64.0,,
Kr,36,,212.0,32.2,83.798,120.85,130.0,136.0,,115.99999999999999,117.0,121.0,108.0,,0.0034249999999999997,16.78,,36,9.05,,402.4,4,,5.72,84,116.6,115,,,48,4,424.6,36,0.247,0.0095,202.0,207.0,,202.0,,215.0,,,414.1,17.54,0.0006026736795967565,0.2655425022718972,0.2584813,0.07051282051282051,7.929311484139086,,0.7812067914124524,,1.0,3.37,,8,8.25,17936.208,1,,0.0,13.99961,1.164,7.535,0.08753524,4.162477568,5.244393107,0.0,36.06,,0.0,18.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,24.35984,,225.0,,
Rb,37,235.0,240.0,55.9,85.4678,961.0,4769.0,4660.0,225.0,220.00000000000003,210.0,202.0,,,1.53,319.8,0.48591999999999996,37,75.8,2.2,,9,80.9,5.59,85,312.2,4,216.0,248.0,48,9,,37,0.36,58.2,303.0,321.0,290.0,,,325.0,,303.0,411.4,4.177,4.9886621315192806e-05,0.10235326314383186,0.10468599999999999,0.01047619047619049,2.0438023387793645,2.088564,0.14623135812597138,0.82,0.1764136490487936,2.07,1.8456039999999998,1,2.200000000000003,18965.51,1,2.5,46.9,4.177128,2.19,0.0,-0.963335025,5.661284779,7.132771862,0.0,90.7225,244.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.2895,,229.0,0.6,2.1
Sr,38,200.0,279.0,33.7,87.62,1657.0,3175.0,3230.0,195.0,195.0,185.0,157.0,139.0,,2.64,197.2,0.048,38,144.0,9.2,,15,164.0,6.08,88,1042.0,8,191.0,215.0,50,15,,38,0.301,,249.00000000000003,284.0,254.99999999999997,,,300.0,,249.00000000000003,364.1,5.695,8.327246165084007e-05,0.12411851354816256,0.1185082,0.015405405405405413,2.8918111279957412,2.8474336,0.216458359003971,0.95,0.26317858328528454,2.13,2.8234336,2,2.8500000000000014,20025.23,1,,5.03,5.69485,7.43,0.0,-1.6828136,4.768954732,6.008506453,0.0,54.23,212.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0301,6.1,225.0,0.84,2.4
Y,39,180.0,274.0,19.8,88.90584,3611.0,,2600.0,,190.0,163.0,130.0,124.0,,4.47,162.0,0.307,39,367.0,11.5,945.9,21,424.7,3.65,89,1795.0,12,162.0,180.0,50,19,967.0,39,0.284,,231.99999999999997,275.0,240.0,,,271.0,,,334.5,6.631,0.00011291354586171855,0.1356646894938404,0.1216986,0.018404907975460124,3.036549028090935,3.10863,0.26456684199469993,1.22,0.39239413055154304,2.52,2.9551299999999996,3,3.0,21115.55,1,41.0,29.6,6.2173,11.39,0.0,-6.464599775,4.015150874,5.058773104,0.0,32.365,179.0,9.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.224,26.0,194.0,1.21,3.2
Zr,40,155.0,269.0,14.1,91.224,4650.0,,1360.0,,175.0,154.0,127.0,121.0,,6.52,112.0,0.426,40,567.0,19.2,,49,610.0,3.23,90,2125.0,44,145.0,160.0,50,49,,40,0.281,22.7,223.0,252.0,229.99999999999997,,,254.0,,,312.4,7.808,0.00013282172373081457,0.1430193883868388,0.12488869999999999,0.020454545454545444,3.1435569026184336,3.31695,0.32931687800417475,1.33,0.4744466571464129,2.05,3.1039499999999998,4,3.1499999999999986,22236.68,1,,41.1,6.6339,21.0,0.0,-8.545958555,3.593145393,4.527079516,0.0,23.195,158.0,8.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.1,33.0,194.0,1.41,3.45
Nb,41,145.0,250.99999999999997,10.8,92.90637,5015.0,,1140.0,,164.0,147.0,125.0,116.0,,8.57,98.0,0.917406,41,680.0,26.8,,53,733.0,3.3,93,2741.0,48,134.0,146.0,52,52,,41,0.268,53.7,218.00000000000003,256.0,215.0,,,243.00000000000003,,,316.5,8.34,0.00012957563977972127,0.13801311186847076,0.1280782,0.01904761904761903,3.2464480590331335,3.379425,0.37089243584650744,1.6,0.5561694805220695,2.59,2.920722,5,2.799999999999997,23388.8,2,170.0,86.1,6.75885,30.0,0.0,-10.09332153,3.312897187,4.173988903,0.0,18.18,143.0,7.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,38.0,229.0,1.64,4.05
Mo,42,145.0,244.0,9.4,95.95,4885.0,,1030.0,,154.0,138.0,121.0,113.0,,10.2,87.0,0.748,42,590.0,28.0,,56,658.98,3.15,98,2890.0,52,130.0,139.0,56,55,,42,0.251,,217.0,245.0,210.0,,,239.0,,,305.2,8.71,0.00015490443184205014,0.1462081105623177,0.1312672,0.02137681159420292,3.4097235958358856,3.546215,0.41008825631569273,2.16,0.6852950108024551,2.47,3.172215,6,2.950000000000003,24572.15,5,230.0,71.9,7.09243,37.48,0.0,-10.84610777,3.154164308,3.973998007,0.0,15.69,139.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,16.16,20.0,229.0,1.77,4.65
Tc,43,135.0,252.0,8.5,97.90721,5150.0,,939.0,,147.0,128.0,120.0,110.0,,11.0,79.0,0.55,43,585.0,23.8,,59,678.0,2.74,98,2445.0,56,127.0,136.0,55,58,,43,0.243,50.6,216.0,244.0,204.99999999999997,,,236.0,,,299.8,8.94,0.0002197265625000001,0.16770509831248426,0.1344592,0.02812500000000001,3.345099475351966,3.5596905,0.4458173673212447,2.1,0.8753613078218101,2.82,3.2846905,7,3.6000000000000014,25786.99,3,,53.0,7.28,33.29,0.0,-10.355151195,3.057056135,3.851649375,0.0,14.285,136.0,5.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,15.26,,194.0,1.81,5.3
Ru,44,130.0,237.0,8.3,101.07,4173.0,,809.0,,146.0,125.0,114.0,103.0,,12.1,72.0,1.05,44,,25.5,751.4,61,650.6,2.7,102,2583.0,60,125.0,134.0,58,63,774.0,44,0.238,117.0,213.0,246.0,204.99999999999997,,,234.0,,,296.3,9.1,0.000208,0.161245154965971,0.1376494,0.026,3.4727870651682635,3.68025,0.4807498567691361,2.2,0.9579372713964337,2.68,3.15525,8,3.25,27033.5,5,220.0,101.3,7.3605,38.59,0.0,-9.19463357,3.000740558,3.780696194,0.0,13.51,134.0,4.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,16.76,173.0,194.0,1.83,5.4
Rh,45,135.0,233.0,8.3,102.9055,4000.0,,708.0,,142.0,125.0,110.0,106.0,,12.4,66.0,1.137,45,494.0,21.8,745.4,63,556.0,3.8,103,2239.0,64,125.0,134.0,58,66,768.0,45,0.244,150.0,210.0,244.0,200.0,,,234.0,,,292.9,9.259,0.00021759999999999992,0.16492422502470638,0.1408379,0.027199999999999988,3.573436721141148,3.72945,0.5147142492000893,2.28,0.976191488,2.65,3.1609499999999997,9,3.3999999999999986,28311.96,5,380.0,109.7,7.4589,26.59,0.0,-7.25364552,3.010334727,3.79278409,0.0,13.64,132.0,3.0,9.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,18.08,150.0,225.0,1.76,5.4
Pd,46,140.0,215.0,8.9,106.42,3413.0,,628.0,,139.0,120.0,117.0,112.0,,12.0,26.14,0.562,46,372.4,17.24,673.4,65,376.6,3.89,106,1825.0,68,128.0,137.0,60,69,696.0,46,0.244,71.8,210.0,215.0,204.99999999999997,,,237.0,,,289.9,9.402000000000001,0.00047569444444444455,0.23892118644719088,0.1440276,0.05708333333333335,3.7260475037229464,4.16843,0.7714217643850214,2.2,1.1242632181006451,2.7,3.8874299999999997,12,6.850000000000001,29622.6,2,180.0,53.7,8.3369,16.74,0.0,-5.13777457,3.065947111,3.862851303,0.0,14.41,142.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.43,44.0,225.0,1.67,5.45
Ag,47,160.0,225.0,10.3,107.8682,2485.0,,341.0,177.0,145.0,128.0,139.0,137.0,,10.5,55.0,1.3019999999999998,47,254.1,11.95,,67,284.9,4.09,107,1235.1,72,134.0,144.0,60,71,,47,0.237,429.0,211.0,253.0,210.0,,,243.00000000000003,,,314.8,11.05,0.00022583007812500017,0.17001838135919312,0.1472165,0.028906250000000022,3.811865291428856,3.788117,0.5848035476425733,1.93,0.9437954801917894,2.88,3.1371170000000004,11,3.700000000000003,30965.7,2,100.0,125.6,7.57623,11.3,0.0,-2.76539356,3.196480506,4.027313074,0.0,16.33,144.0,1.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,21.47746,30.0,225.0,1.36,4.35
Cd,48,155.0,238.0,13.1,112.414,1038.0,,405.0,160.0,144.0,136.0,144.0,,,8.69,46.0,,48,59.1,6.11,,75,111.8,2.98,114,594.1,78,138.0,151.0,66,75,,48,0.232,96.9,218.00000000000003,249.0,220.00000000000003,,,250.0,,,284.8,8.995,0.00023518598615916963,0.17884432928568653,0.1504066,0.03198529411764707,3.598759091687022,,0.6389611770544147,1.69,0.8015620376731044,2.36,,12,4.350000000000001,32341.49,1,42.0,0.0,8.99382,6.21,0.0,-0.812174225,3.390921571,4.272293466,0.0,19.495,157.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,16.90831,19.0,194.0,1.24,4.05
In,49,155.0,246.0,15.7,114.818,2353.0,779.0,643.0,,142.0,142.0,136.0,146.0,,7.31,65.0,0.3,49,225.1,3.24,,80,243.0,4.59,115,429.32,84,142.0,158.0,66,79,,49,0.234,81.8,193.0,243.0,220.00000000000003,193.0,459.0,264.0,,,446.3,9.793,0.0002479666732791113,0.18764665626020038,0.16423,0.035211267605633804,4.191297022800142,2.8931776,0.3587037905349503,1.78,0.7172746990204197,2.29,2.7431776,3,5.0,33750.31,1,,28.9,5.78636,3.291,0.0,-2.66680196,3.647317727,4.595332379,0.0,24.26,155.0,5.0,13.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,18.8703,,139.0,1.17,3.9
Sn,50,145.0,248.0,16.3,118.71,2543.0,659.0,715.0,140.0,139.0,140.0,130.0,132.0,,7.287,53.0,1.112067,50,296.0,7.07,,83,301.2,5.82,120,505.1,90,142.0,163.0,70,83,,50,0.222,66.8,217.0,242.0,225.0,217.0,447.0,259.0,,,439.19999999999993,10.79,0.0002882653061224493,0.20089087300607486,0.178052,0.0403571428571429,4.82736333312503,3.6719585,0.42259858696436514,1.96,0.7622796669226185,2.68,3.1159250000000003,4,5.650000000000006,35192.39,2,58.0,107.3,7.34392,7.15,0.0,-3.96104709,4.052840562,5.106259136,0.0,33.285,155.0,4.0,14.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,14.6322,18.0,141.0,1.24,4.15
Sb,51,145.0,246.0,18.4,121.76,1908.0,492.0,504.0,140.0,139.0,140.0,133.0,127.0,,6.68,43.0,1.046,51,195.2,20.08,,91,264.4,4.51,121,903.9,96,139.0,166.0,70,88,,51,0.205,24.43,206.0,247.0,220.00000000000003,,434.99999999999994,252.0,,206.0,442.0,11.74,0.00032142857142857163,0.21213203435596434,0.19187739999999998,0.04500000000000003,5.465562898732389,4.3041945,0.48809068144769724,2.05,0.7762722168232371,3.05,3.7811945000000002,5,6.300000000000004,36668.05,3,42.0,103.2,8.60839,19.79,0.0,-4.11736234,3.981581991,5.016478962,0.0,31.56,155.0,3.0,15.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,16.63,20.0,166.0,1.26,4.4
Te,52,140.0,242.0,20.5,127.6,1263.0,445.0,471.0,133.0,138.0,136.0,128.0,121.0,,6.232,38.0,1.9708759999999999,52,49.8,17.91,,94,196.6,4.45,130,722.7,102,137.0,160.0,78,92,,52,0.201,14.3,206.0,199.0,210.0,206.0,423.00000000000006,244.0,,,447.0,12.76,0.0003757569204152251,0.22605959651488058,0.20569920000000003,0.05110294117647061,6.0774605442295275,4.50483,0.5404919349372261,2.1,0.862250634571203,3.14,3.5193920000000003,6,6.950000000000003,38177.56,3,65.0,190.2,9.0096,17.38,0.464,-3.14130250667,4.111975037,5.180763906,0.0,34.7633333333,140.0,2.0,16.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,18.6,16.0,152.0,,
I,53,140.0,238.0,25.7,126.90447,457.5,385.0,389.0,140.0,139.0,133.0,129.0,125.0,,4.933,32.9,3.0590368,53,41.95,15.52,583.5,99,106.757,7.72,127,386.7,109,,139.0,74,97,608.2,53,,,198.0,204.0,210.0,198.0,415.00000000000006,236.0,,,450.0,13.95,0.0004296455424274974,0.23904572186687875,0.21951759999999998,0.057142857142857155,6.686975827254479,5.22563,0.5969904456989195,2.66,0.9386428662389749,3.2,3.6961116,7,7.600000000000001,39721.41,4,7.7,295.2,10.45126,7.76,1.062,-1.5054024175,4.414518159,5.561944354,0.0,43.015,,1.0,17.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,19.1313,,64.0,,
Xe,54,,231.99999999999997,42.9,131.293,166.1,,302.0,,140.0,131.0,135.0,122.0,,0.005365999999999999,27.32,-0.055999999999999994,54,12.65,,478.1,5,,6.2,132,161.3,116,,,78,5,499.6,54,0.158,0.0057,216.0,228.0,,216.0,,227.99999999999997,,,440.4,15.27,0.0004807412155468796,0.25095238440118717,0.2333511,0.06297709923664122,7.286765770045035,6.06492155,0.6640535416946376,2.6,1.0,3.12,6.09292155,8,8.25,41299.71,1,,0.0,12.12984,2.27,6.456,0.04873128,4.751892136,5.987008929,0.0,53.65,,0.0,18.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,2.0,20.975,,225.0,,
Cs,55,260.0,249.00000000000003,70.0,132.90545196,951.6,,6660.0,237.0,244.0,231.99999999999997,209.0,,,1.873,400.9,0.47162600000000005,55,68.3,2.09,,8,76.5,6.05,133,301.6,5,235.0,267.0,78,8,,55,0.241,35.9,343.0,348.0,300.0,,,344.0,,343.0,451.69999999999993,3.898,4.087395957193823e-05,0.09737945687202033,0.1542125,0.009482758620689669,1.9732981396636444,1.946952774,0.1356192425884135,0.79,0.18145305327400574,1.97,1.711139774,1,2.200000000000003,42912.99,1,1.6,45.5,3.893905,2.09,0.0,-0.85462646,6.140481453,7.736521839,0.0,115.765,264.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.15744,,229.0,0.55,1.95
Ba,56,215.0,293.0,39.0,137.327,1910.0,,5540.0,210.0,215.0,196.0,161.0,149.0,,3.62,272.0,0.14462,56,142.0,7.66,,14,179.1,5.02,138,1002.0,9,198.0,222.0,82,14,,56,0.192,,268.0,303.0,270.0,,,307.0,,268.0,370.3,5.211,7.418783840066642e-05,0.12058530725810097,0.1586786,0.01454081632653062,2.758214096113643,2.605832,0.19445555936641015,0.89,0.3032951354980469,2.02,2.533522,2,2.8500000000000014,44561.47,1,9.6,13.95,5.211664,7.12,0.0,-1.92352226,5.028899311,6.3360161,0.0,63.59,223.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.00383,4.9,229.0,0.81,2.32
La,57,195.0,284.0,22.5,138.90547,3730.0,,3730.0,,206.99999999999997,180.0,139.0,139.0,,6.15,215.0,0.47,57,402.0,8.5,991.9,32,431.0,3.75,139,1194.0,13,169.0,187.0,82,33,1013.0,57,0.197,13.4,243.00000000000003,298.0,250.0,,,278.0,,,352.2,,9.259259259259259e-05,0.12909944487358055,0.163142,0.016666666666666666,2.8949801381011233,2.78845,0.24074702639089965,1.1,0.3946505292779951,2.49,2.55345,3,3.0,46245.6,1,28.0,48.0,5.5769,6.2,0.0,-4.927546185,4.194456026,5.28468344,0.0,36.8975,187.0,9.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.059,14.0,194.0,1.18,3.17
Ce,58,185.0,282.0,21.0,140.116,3699.0,,3480.0,,204.0,163.0,137.0,131.0,,6.77,205.0,0.65,58,398.0,5.2,,31,420.1,5.16,140,1072.0,15,,,82,32,,58,0.205,11.3,242.0,288.0,,,,274.0,,,355.6,,0.00011291354586171855,0.1356646894938404,0.16760999999999998,0.018404907975460124,2.86256877646634,2.7693,0.21367745949970848,1.12,0.5356179292473966,2.61,2.4442999999999997,2,3.0,47965.72,2,22.0,50.0,5.5387,5.46,0.0,-4.77656965,4.207394381,5.300984746,0.0,37.24,182.0,22.0,4.0,9.0,1.0,13.0,1.0,0.0,0.0,0.0,2.0,10.85,14.0,194.0,1.19,3.18
Pr,59,185.0,286.0,20.8,140.90766,3785.0,,3760.0,,202.99999999999997,176.0,138.0,128.0,,6.773,216.0,0.9620000000000001,59,331.0,11.3,,30,356.9,3.67,141,1204.0,17,,,82,31,,59,0.192,12.5,240.0,292.0,,,,273.0,,,360.6,,9.20067148760331e-05,0.12725243344699474,0.17207999999999998,0.016193181818181825,2.830459326681802,2.7365,0.20998684164914555,1.13,0.4288040164390691,2.24,2.2555,2,2.8500000000000014,49722.2,2,29.0,50.0,5.473,6.89,0.0,-4.77382996,4.14761076,5.225662103,0.0,35.675,183.0,11.0,5.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,10.55,15.0,194.0,1.2,3.19
Nd,60,185.0,284.0,20.6,144.242,3341.0,,3560.0,,200.99999999999997,174.0,137.0,,,7.01,208.0,1.916,60,289.0,7.1,,29,326.9,3.66,142,1294.0,19,,,82,30,,60,0.205,,239.0,295.0,,,,273.0,,,357.5,,9.413396749900916e-05,0.1279816797234182,0.176539,0.016379310344827595,2.85,2.7625,0.2126451851414951,1.14,0.4472180169144809,2.11,1.8045000000000002,2,2.8500000000000014,51515.58,1,32.0,50.0,5.525,7.14,0.0,-4.76235134,4.1138142,5.183081107,0.0,34.81,182.0,10.0,6.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,2.0,10.72,16.0,194.0,1.2,3.19
Pm,61,185.0,283.0,,144.91276,3000.0,,3340.0,,199.0,173.0,135.0,,,7.26,200.0,,61,,,,28,,,145,1441.0,21,,,84,29,,61,0.185,17.9,238.0,,,,,272.0,,,354.7,,9.522536670119287e-05,0.12835103598844214,0.1810032,0.016473988439306367,2.870714196850672,,0.2154434690031884,,0.4585537190199959,2.24,,2,2.8500000000000014,53346.1,1,33.0,50.0,5.582,,0.0,-4.7446213425,4.075342789,5.134610166,0.0,33.8425,185.0,9.0,7.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,2.0,10.9,18.0,194.0,1.21,3.19
Sm,62,185.0,280.0,19.9,150.36,2064.0,,3130.0,,198.0,172.0,134.0,,,7.52,192.0,,62,165.0,8.9,,27,206.7,9.0,152,1350.0,23,,,90,28,,62,0.18,,236.0,290.0,,,,271.0,,,352.0,,9.633585722011903e-05,0.12872360871984778,0.185468,0.016569767441860474,2.8908225473037947,,0.21839511618407473,1.17,0.4702145151871456,1.9,,2,2.8500000000000014,55214.23,2,38.0,50.0,5.6437,8.62,0.0,-4.713379635,4.050607032,5.103445064,0.0,33.23,185.0,8.0,8.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,11.07,20.0,166.0,1.21,3.2
Eu,63,185.0,280.0,28.9,151.964,1870.0,,2940.0,,198.0,168.0,134.0,,,5.24,184.0,0.8640000000000001,63,176.0,,,17,177.4,4.61,153,1095.0,25,,,90,18,,63,0.176,13.9,235.0,287.0,,,,294.0,,,349.3,,0.00010097789115646263,0.13024701806293196,0.189935,0.016964285714285723,2.9078673456676114,2.8351925,0.22151546799151525,,0.5085079692028187,1.81,2.4031925,2,2.8500000000000014,57120.6,2,8.3,50.0,5.67038,9.21,0.0,-1.82958684,4.177811939,5.263713205,0.0,36.46,196.0,7.0,9.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,11.25,7.9,229.0,0.88,2.5
Gd,64,180.0,277.0,19.9,157.25,3539.0,,2340.0,,196.0,169.0,135.0,132.0,,7.9,158.0,,64,398.0,,,26,397.5,3.64,158,1586.0,27,,,94,27,,64,0.23,,234.0,283.0,,,,271.0,,,336.8,,0.00010503833899373271,0.13323467750529824,0.1944,0.01775147928994083,3.0199168862735277,,0.23305457683800562,1.2,0.5033860422181061,2.4,,2,3.0,59065.52,1,38.0,50.0,6.1498,9.67,0.0,-4.65442131,4.002082249,5.042307669,0.0,32.05,176.0,16.0,10.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,12.09,22.0,194.0,1.21,3.2
Tb,65,175.0,276.0,19.2,158.92535,3296.0,,2590.0,,194.0,168.0,135.0,,,8.23,170.0,1.165,65,389.0,,,25,388.7,3.6,159,1629.0,29,,,94,26,,65,0.183,11.1,233.0,279.0,,,,270.0,,,345.1,,0.00010097789115646263,0.13024701806293196,0.198863,0.016964285714285723,2.948202842410949,2.9319,0.22743660195259535,,0.5163695143708502,2.29,2.3494,2,2.8500000000000014,61049.64,2,38.7,50.0,5.8638,10.15,0.0,-4.62921769667,3.988997542,5.025821971,0.0,31.7366666667,176.0,5.0,11.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,11.52,22.0,194.0,1.22,3.21
Dy,66,175.0,275.0,19.0,162.5,2835.0,,2430.0,,192.0,167.0,133.0,,,8.55,163.0,0.35200000000000004,66,291.0,,,24,290.4,3.59,164,1685.0,31,,,98,25,,66,0.173,10.7,231.0,287.0,,,,290.0,,,342.8,,0.0001021908279249884,0.13063639716202013,0.20332999999999998,0.01706586826347306,2.9672419854133905,2.969525,0.23064681602851372,1.22,0.5297338282833649,2.07,2.793525,2,2.8500000000000014,63073.5,1,41.0,50.0,5.9389,11.35,0.0,-4.60155445333,3.968079278,4.99946661,0.0,31.24,175.0,4.0,12.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,11.67,25.0,194.0,1.22,3.21
Ho,67,175.0,273.0,18.7,164.93033,2968.0,,2280.0,,192.0,166.0,133.0,,,8.8,156.0,,67,301.0,,,23,300.6,3.58,165,1747.0,33,,,98,24,,67,0.164,,229.99999999999997,281.0,,,,267.0,,,340.9,,0.00010342575119756164,0.1310292894691688,0.20779499999999998,0.017168674698795232,2.9850879384031552,,0.23404631038831514,1.23,0.5434919381047134,2.12,,2,2.8500000000000085,65136.8,1,40.0,50.0,6.0215,11.76,0.0,-4.57741687667,3.946510119,4.972291172,0.0,30.7333333333,177.0,3.0,13.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,11.8,26.0,194.0,1.22,3.22
Er,68,175.0,272.0,18.4,167.259,3136.0,,2150.0,,189.0,165.0,133.0,,,9.07,150.0,,68,317.0,,,22,316.4,3.56,166,1802.0,35,,,98,23,,68,0.168,,229.0,283.0,,,,267.0,,,339.1,,0.00010468319559228682,0.13142574813455438,0.212261,0.017272727272727325,3.0031400233755337,,0.23712622029933755,1.24,0.5576573085473363,2.02,,2,2.8500000000000085,67241.85,1,44.0,50.0,6.1077,19.9,0.0,-4.563633745,3.940150647,4.964278739,0.0,30.585,175.0,2.0,14.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,11.93,28.0,194.0,1.23,3.22
Tm,69,175.0,271.0,18.1,168.93422,2220.0,,2020.0,,190.0,164.0,131.0,,,9.321,144.0,1.0290000000000001,69,232.0,,,20,232.2,3.54,169,1818.0,37,,,100,22,,69,0.16,,227.0,279.0,,,,267.0,,,337.4,,0.00010596371207614547,0.1318258274409376,0.2167244,0.01737804878048786,3.0194627005478973,3.092155,0.2403749283845681,1.25,0.5722439379761333,2.03,2.577655,2,2.8500000000000085,69387.34,2,45.0,50.0,6.18431,16.84,0.0,-4.47387849,3.905274476,4.920337518,0.0,29.78,175.0,1.0,15.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,12.05,31.0,194.0,1.23,3.22
Yb,70,175.0,277.0,24.8,173.045,1466.0,,1910.0,,187.0,170.0,129.0,,,6.9,139.0,-0.02,70,159.0,3.35,,18,155.6,5.49,174,1097.0,39,,,104,17,,70,0.145,,225.99999999999997,280.0,,,,279.0,,,335.5,,9.86159169550176e-05,0.12947859237091278,0.22119,0.01676470588235299,3.0358972314622243,3.12708,0.24322323758110612,,0.5176678455119073,1.78,3.1370799999999996,2,2.8500000000000085,71574.79,2,31.0,50.0,6.25416,7.66,0.0,-1.47410408,4.086451411,5.148606152,0.0,34.12,190.0,0.0,16.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,12.176,9.9,225.0,0.92,2.58
