,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,boiling_point,c6,c6_gb,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,covalent_radius_slater,density,dipole_polarizability,electron_affinity,electrons,evaporation_heat,fusion_heat,gas_basicity,glawe_number,heat_of_formation,lattice_constant,mass_number,melting_point,mendeleev_number,metallic_radius,metallic_radius_c12,neutrons,pettifor_number,proton_affinity,protons,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,en_Allen,en_Allred_Rochow,en_Cottrell_Sutton,en_Ghosh,en_Gordy,en_Martynov_Batsanov,en_Mulliken,en_Nagle,en_Pauling,en_Sanderson,en_Tardini_Organov,hardness,nvalence,zeff,max_ionenergy,num_oxistates,BulkModulus,ElectronAffinity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,MiracleRadius,NUnfilled,NValence,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,SecondIonizationEnergy,ShearModulus,SpaceGroupNumber,n_ws^third,phi
Na,11,180.0,225.0,23.7,22.98976928,1156.1,1518.0,1570.0,177.0,166.0,155.0,160.0,,,0.97,162.7,0.547926,11,97.9,2.64,,11,107.5,4.23,23,370.96,2,157.0,190.0,12,11,,11,1.222,142.0,227.0,250.0,240.0,227.0,,270.0,176.0,,298.3,5.14,9.157127991675336e-05,0.1191366794362541,0.093214,0.01419354838709677,2.2669531755199532,2.56953835,0.18317694670774523,0.93,0.09459763697509314,2.15,2.29557535,1,2.1999999999999993,1648.702,1,6.3,52.8,5.139076,2.6,0.0,-1.26024138333,3.88167309,4.890601634,0.0,29.2433333333,180.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.2864,3.3,229.0,0.82,2.7
Mg,12,150.0,240.0,14.0,24.305,1363.0,626.0,629.0,142.0,141.0,139.0,132.0,127.0,,1.74,71.2,,12,131.8,9.2,797.3,73,147.1,3.21,24,922.0,76,136.0,160.0,12,73,819.6,12,1.025,156.0,173.0,251.0,220.00000000000003,173.0,,243.00000000000003,187.0,,302.1,7.646,0.00014750789296620256,0.14319077177773068,0.121644,0.020503597122302156,3.367603153579709,,0.3039834927283264,1.31,0.1524210584692021,2.39,,2,2.8499999999999996,1962.664,1,45.0,0.0,7.646235,8.48,0.0,-1.54227231,3.577326635,4.50714913,0.0,22.89,160.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.03527,17.0,194.0,1.17,3.45
Al,13,125.0,239.0,10.0,26.9815385,2740.0,528.0,520.0,135.0,121.0,126.0,113.0,111.0,,2.7,57.8,0.43283,13,284.1,10.75,,78,330.9,4.05,27,933.5,82,125.0,143.0,14,80,,13,0.9,237.0,184.0,225.0,210.0,,438.99999999999994,236.0,202.99999999999997,184.0,449.9,9.539,0.0002204585537918871,0.16666666666666666,0.150078,0.027777777777777776,4.213547927024603,2.9928842,0.373019159140294,1.61,0.23609269172239372,2.52,2.7764692,3,3.5,2304.14,1,76.0,42.5,5.985768,10.71,0.0,-3.74542312,3.206237833,4.039606536,0.0,16.48,141.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,18.82855,26.0,225.0,1.39,4.2
Si,14,110.0,231.99999999999997,12.1,28.085,2628.0,305.0,308.0,117.0,111.00000000000001,115.99999999999999,107.0,102.0,,2.3296,37.3,1.3895211,14,383.0,50.6,814.1,85,450.0,5.43,28,1683.0,88,117.0,138.0,14,85,837.0,14,0.703,149.0,210.0,219.0,210.0,210.0,426.99999999999994,229.0,,,429.5,11.33,0.00030841260404280616,0.18914508206391598,0.178503,0.03577586206896551,5.077704156407696,4.0758415,0.4750985662830595,1.9,0.3468157872145231,2.82,3.3810809500000003,4,4.149999999999999,2673.1774,3,100.0,133.6,8.15168,50.21,0.773,-5.424918005,3.444849839,4.340238825,0.0,20.44,110.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,16.34584,,227.0,1.5,4.7
P,15,100.0,223.0,17.0,30.973761998,553.0,185.0,187.0,,107.0,111.00000000000001,102.0,94.0,,1.823,25.0,0.746607,15,49.8,2.51,604.8,89,316.5,7.17,31,317.3,94,110.0,128.0,16,90,626.8,15,0.757,,180.0,190.0,195.0,180.0,415.00000000000006,222.00000000000003,,,414.70000000000005,13.33,0.00038957876795714613,0.20795009796401448,0.206931,0.043243243243243225,5.948576233015763,5.243343,0.5848035476425733,2.19,0.4510268934589262,3.16,4.870039500000001,5,4.799999999999999,3069.8414,3,11.0,72.0,10.48669,18.54,1.625,-5.4005090425,3.560590636,4.486063093,0.0,22.5702380952,102.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,19.7695,,2.0,1.65,5.55
S,16,100.0,214.0,15.5,32.06,717.824,134.0,140.0,102.0,105.0,103.0,94.0,95.0,,2.07,19.4,2.07710403,16,10.5,1.23,640.2,96,277.17,10.47,32,386.0,100,104.0,127.0,16,94,664.3,16,0.732,0.27,180.0,189.0,180.0,180.0,403.0,215.0,,,403.5,15.31,0.0005137147704778961,0.23002743610105142,0.23596,0.0529126213592233,6.787529005462887,5.180005,0.6762643703802266,2.58,0.6397251297670872,3.44,4.141452985000001,6,5.449999999999999,3494.1877,4,7.7,200.0,10.36001,1.721,2.202,-4.09721671875,3.722284555,4.689784664,0.0,25.786875,103.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,23.33788,,70.0,,
Cl,17,100.0,206.0,18.7,35.45,238.6,94.6,97.1,105.0,102.0,99.0,95.0,93.0,,0.002898,14.6,3.612725,17,20.41,6.41,490.1,101,121.302,6.24,35,172.2,107,,91.0,18,99,513.6,17,,0.009,175.0,182.0,180.0,175.0,395.03,206.99999999999997,,,394.7,16.97,0.0006223854708703193,0.2482260292881502,0.263803,0.06161616161616161,7.640517652620142,6.483815,0.7826754796597776,3.16,0.81237728291421,3.56,4.677452499999999,7,6.1,3946.2908,5,1.1,349.0,12.96763,3.2,2.493,-1.784433755,3.65918124,4.610279469,0.0,24.4975,,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,23.8136,,64.0,,
Ar,18,71.0,197.0,24.2,39.948,87.3,64.2,67.4,,106.0,96.0,107.0,96.0,,0.001633,11.083,-11.5,18,6.52,,346.3,3,,5.26,40,83.8,114,,,22,3,369.2,18,0.138,0.0177,188.0,194.0,,188.0,,199.0,,,386.8,19.17,0.000732421875,0.2651650429449553,0.2922,0.0703125,8.49781575759324,7.8798056,0.8970380903159595,,1.0,3.57,13.629805600000001,8,6.75,4426.2227,1,,0.0,15.75961,1.18,9.26,0.05854104,3.850300758,4.851074973,0.0,28.54,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,27.62966,,225.0,,
K,19,220.0,234.0,45.3,39.0983,1047.0,3923.0,3910.0,206.99999999999997,202.99999999999997,196.0,193.0,,,0.89,289.7,0.50147,19,2.33,102.5,,10,89.0,5.23,39,336.8,3,203.0,235.0,20,10,,19,0.753,79.0,275.0,273.0,280.0,275.0,,309.0,,,381.2,4.34,5.726780508121614e-05,0.10594569267279516,0.0981896,0.011224489795918363,2.0834259142095743,2.17033177,0.15112993710096745,0.82,0.12183826306999038,2.07,1.9195967700000003,1,2.1999999999999993,4934.0482,1,3.1,48.4,4.3406633,2.335,0.0,-1.09753971333,5.268200874,6.637517176,0.0,73.1066666667,230.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.63,1.3,229.0,0.65,2.25
Ca,20,180.0,270.0,29.9,40.078,1757.0,2163.0,2230.0,170.0,176.0,171.0,147.0,133.0,,1.54,160.8,0.02455,20,153.6,9.2,,16,177.8,5.58,40,1112.0,7,174.0,197.0,20,16,,20,0.653,,231.0,262.0,240.0,,,281.0,,231.0,339.9,6.1129999999999995,9.746588693957108e-05,0.12909944487358052,0.1154119,0.016666666666666653,2.9987391683839393,3.0565776,0.23169392694814256,1.0,0.19015771608512197,2.2,3.0443026,2,2.849999999999998,5469.8614,1,17.0,2.37,6.11316,8.54,0.0,-1.948329565,4.227260324,5.326014266,0.0,37.77,201.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.87172,7.4,225.0,0.91,2.55
